iter	Passed	Remaining
0	13	13156
1	29	14834
2	45	15164
3	58	14559
4	72	14389
5	87	14510
6	104	14777
7	120	15000
8	133	14713
9	144	14329
10	159	14310
11	171	14104
12	184	14018
13	196	13804
14	205	13521
15	217	13391
16	230	13354
17	242	13225
18	254	13131
19	272	13361
20	290	13521
21	300	13379
22	311	13250
23	323	13141
24	334	13039
25	345	12933
26	354	12791
27	367	12758
28	378	12662
29	388	12558
30	399	12476
31	409	12383
32	420	12331
33	433	12313
34	442	12212
35	453	12155
36	464	12099
37	475	12037
38	485	11964
39	496	11915
40	506	11849
41	516	11776
42	527	11732
43	537	11684
44	547	11628
45	559	11608
46	561	11392
47	571	11344
48	575	11165
49	586	11136
50	595	11084
51	597	10899
52	609	10882
53	619	10845
54	630	10831
55	633	10682
56	638	10567
57	640	10410
58	650	10382
59	662	10376
60	671	10339
61	682	10319
62	692	10303
63	704	10297
64	715	10298
65	726	10281
66	737	10266
67	746	10230
68	758	10232
69	767	10194
70	778	10181
71	790	10192
72	800	10164
73	812	10167
74	825	10175
75	828	10071
76	838	10054
77	849	10043
78	860	10037
79	871	10023
80	881	9996
81	892	9989
82	903	9978
83	913	9963
84	923	9938
85	933	9920
86	943	9903
87	949	9840
88	958	9811
89	967	9783
90	980	9791
91	990	9780
92	1000	9759
93	1011	9752
94	1021	9728
95	1031	9709
96	1042	9701
97	1053	9692
98	1063	9682
99	1075	9675
100	1085	9660
101	1094	9634
102	1105	9625
103	1115	9613
104	1127	9608
105	1139	9609
106	1150	9603
107	1162	9602
108	1173	9589
109	1184	9584
110	1194	9566
111	1203	9545
112	1215	9539
113	1226	9532
114	1236	9517
115	1247	9504
116	1256	9484
117	1268	9478
118	1278	9463
119	1288	9452
120	1301	9453
121	1311	9440
122	1323	9439
123	1334	9425
124	1344	9414
125	1356	9409
126	1366	9394
127	1377	9384
128	1389	9382
129	1401	9376
130	1410	9354
131	1420	9341
132	1431	9334
133	1439	9305
134	1449	9284
135	1459	9272
136	1471	9267
137	1482	9260
138	1494	9258
139	1505	9248
140	1516	9239
141	1526	9221
142	1537	9213
143	1546	9191
144	1559	9194
145	1569	9181
146	1580	9169
147	1592	9165
148	1603	9156
149	1611	9133
150	1618	9101
151	1628	9087
152	1639	9078
153	1650	9066
154	1659	9047
155	1670	9037
156	1681	9029
157	1693	9023
158	1705	9018
159	1716	9011
160	1728	9009
161	1739	8997
162	1750	8988
163	1760	8975
164	1772	8968
165	1781	8951
166	1791	8938
167	1804	8934
168	1815	8924
169	1825	8912
170	1836	8901
171	1846	8887
172	1856	8874
173	1868	8868
174	1877	8851
175	1887	8835
176	1892	8800
177	1901	8783
178	1914	8780
179	1924	8768
180	1934	8753
181	1945	8744
182	1955	8732
183	1966	8722
184	1976	8706
185	1985	8689
186	1995	8674
187	2004	8657
188	2016	8651
189	2027	8643
190	2036	8626
191	2046	8611
192	2058	8608
193	2070	8603
194	2082	8597
195	2093	8587
196	2105	8581
197	2116	8571
198	2126	8561
199	2138	8552
200	2146	8534
201	2159	8531
202	2170	8521
203	2181	8512
204	2193	8508
205	2206	8505
206	2217	8493
207	2225	8474
208	2237	8466
209	2249	8461
210	2260	8454
211	2272	8445
212	2282	8433
213	2294	8426
214	2304	8415
215	2316	8409
216	2327	8399
217	2338	8387
218	2343	8358
219	2354	8347
220	2362	8328
221	2374	8321
222	2384	8308
223	2393	8291
224	2403	8278
225	2415	8273
226	2427	8264
227	2438	8255
228	2449	8247
229	2461	8241
230	2473	8234
231	2483	8222
232	2496	8217
233	2506	8204
234	2516	8193
235	2525	8175
236	2537	8169
237	2548	8158
238	2556	8141
239	2566	8127
240	2578	8121
241	2590	8113
242	2596	8089
243	2607	8080
244	2616	8064
245	2622	8036
246	2633	8028
247	2644	8017
248	2655	8008
249	2663	7991
250	2676	7986
251	2686	7975
252	2697	7964
253	2709	7956
254	2721	7949
255	2729	7933
256	2739	7920
257	2745	7894
258	2751	7873
259	2761	7859
260	2771	7846
261	2781	7834
262	2793	7828
263	2802	7813
264	2812	7799
265	2820	7783
266	2833	7778
267	2844	7768
268	2855	7758
269	2865	7747
270	2876	7736
271	2886	7726
272	2898	7718
273	2909	7710
274	2920	7699
275	2931	7689
276	2944	7686
277	2958	7684
278	2972	7681
279	2984	7673
280	2993	7660
281	3006	7654
282	3018	7647
283	3030	7640
284	3043	7634
285	3056	7629
286	3067	7620
287	3079	7613
288	3090	7603
289	3102	7594
290	3114	7589
291	3124	7576
292	3135	7565
293	3146	7555
294	3159	7549
295	3170	7540
296	3181	7531
297	3194	7524
298	3202	7508
299	3213	7498
300	3223	7486
301	3232	7470
302	3241	7456
303	3253	7448
304	3264	7438
305	3277	7432
306	3289	7426
307	3301	7416
308	3309	7401
309	3316	7381
310	3324	7364
311	3335	7355
312	3346	7345
313	3357	7334
314	3368	7325
315	3380	7317
316	3390	7304
317	3401	7294
318	3407	7273
319	3418	7263
320	3430	7255
321	3440	7245
322	3453	7239
